322 LionHZW [3, 8, 12, 12, 15, 18, 68, 23, 26, 25, 30, 40, 50, 194, 25, 35, 322]
314 LionHZW [3, 8, 12, 12, 15, 18, 68, 23, 26, 25, 30, 40, 50, 194, 17, 35, 314]
206 Lion [1, 8, 3, 8, 20, 30, 70, 23, 0, 25, 30, 0, 0, 78, 23, 35, 206]
62 DerheiligeDon [2, 4, 9, 8, 5, 12, 40, 0, 0, 0, 0, 0, 0, 0, 22, 0, 62]
40 KUCHEN [0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 22, 18, 0, 40]
32 Testlauf [0, 0, 9, 0, 0, 6, 15, 0, 0, 0, 0, 0, 0, 0, 17, 0, 32]
29 HOLY [3, 6, 0, 8, 0, 12, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29]
22 202020 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 22]
18 asdaiusdn [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 18]
